a,b
0.0001343644689768,0.659724460216239
0.0001950899604707,0.427804428851232
0.0004571042954921,0.863254461204633
0.0006275821942836,0.236605255166069
0.0013542035594582,0.160551307024434
0.0014914500061422,0.83889284171164
0.0015757847577333,0.204954882152379
0.0016579888761043,0.974100407911465
0.0019829915836453,0.588978872634471
0.00207723188214,0.799245195230469
0.0022675453219562,0.624483672901988
0.0026022191159427,0.453094525961205
0.0028983899392187,0.86103401449509
0.0029731963295489,0.3025123977568
0.0030962699092924,0.416332442779094
0.0032476324122399,0.919321860885248
0.0033257941249758,0.531948285643011
0.0037712445482611,0.169641874497756
0.0041401332709938,0.61901288270019
0.0044418890029192,0.741296632913873
0.0045396853238344,0.688022311544046
0.0050099301151931,0.499832071829587
0.0051022288389504,0.77862753206864
0.0056568523868918,0.508583136834204
0.0058154044672846,0.804236261406913
0.0058455993421375,0.670206181937829
0.006144655868411,0.12004354596138
0.0064279998186975,0.904774588067085
0.0067233436275273,0.979935271199793
0.0070454059168696,0.31213290989399
0.0070923164021223,0.877944083418697
0.0070933944080025,0.470452855806798
0.007255150238052,0.687125433469191
0.0073553083930164,0.392683549784124
0.0075313763227313,0.114914435427636
0.0078061376698315,0.476663348497823
0.0079389354214072,0.632903313264251
0.0079611672554165,0.770532537950203
0.0079914142843335,0.0973125207237899
0.0092425229959189,0.92177370400168
0.0093133207410574,0.587500352179632
0.0094084285665303,0.549105450045317
0.0096866686362773,0.244451104663312
0.0099322048481553,0.265859581530094
0.0099540266674011,0.0040768387261778
0.0099885570816695,0.698973085498437
0.0100057618692517,0.0723839288111776
0.0102097135968506,0.619492027210072
0.0103365662507713,0.715569155290723
0.0105865092482418,0.581192590529099
0.0108539189677686,0.181071204133332
0.011053683469072,0.827574863797054
0.0113293996546417,0.609366810647771
0.0115146497264504,0.634809911483899
0.0119390815962106,0.327340496238321
0.0120209879241884,0.314120928756893
0.0124742244370282,0.519195030676201
0.012520844116807,0.648592843906954
0.0126382005400956,0.0625914519187063
0.012830930063501,0.862749315565452
0.0129919140599668,0.993903127266094
0.0132058965973556,0.509497004793957
0.0132841640152037,0.301436448702589
0.0135788507759571,0.205644520465285
0.0136436773464084,0.201735427370295
0.0136771085672081,0.525888080708683
0.0139427590183914,0.295816900208592
0.0144662677776068,0.0043151376303285
0.0144820464774966,0.648946953238919
0.0148997218348086,0.660023091826588
0.0153368019964546,0.451604614965618
0.0155409765429795,0.977284014690667
0.0155911422334611,0.0875472207553685
0.0155934181530029,0.275787081336603
0.015611287439242,0.306655642576516
0.0158605729229748,0.881635799771175
0.0159261261578649,0.365041186800227
0.0161757420282811,0.0417669753078371
0.0165985878556967,0.744016470620409
0.0166246008593589,0.415399058023468
0.0167669153306633,0.493026788346469
0.0168156013824046,0.126944259274751
0.0168596338480711,0.868741330690682
0.0170308696106076,0.849852051585913
0.0170760350301862,0.398250611266121
0.0174151861574501,0.606949264183641
0.0174977022688836,0.523025448666886
0.0178562635555863,0.875830844743177
0.0178783936426044,0.763729754136875
0.0181897080037743,0.284025662811473
0.0183502091094852,0.0026091567706316
0.0185172818601131,0.880061087664217
0.0186336643528193,0.962475575041026
0.018699909793213,0.507345537422225
0.0187293998897076,0.290583845460787
0.0187549805268645,0.659940012032166
0.0196138562168926,0.504419572884217
0.0198238131124526,0.584175346419215
0.0201241341419518,0.373479763045907
0.0201813934836537,0.392814132850617
